time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1743238800000,2025-03-29 12:00:00,20.104,20.14,19.813,20.047,475117.0,1743242399999,9493826.862,32958,233010.0,4656495.674
1743242400000,2025-03-29 13:00:00,20.049,20.063,19.868,19.9,374705.0,1743245999999,7483818.73,28395,153481.0,3066073.382
1743246000000,2025-03-29 14:00:00,19.899,20.01,19.639,19.846,861428.0,1743249599999,17044723.839,54241,428061.0,8473349.025
1743249600000,2025-03-29 15:00:00,19.847,20.134,19.81,20.123,514013.0,1743253199999,10268583.582,34218,272543.0,5444621.35
1743253200000,2025-03-29 16:00:00,20.121,20.308,20.09,20.276,539295.0,1743256799999,10901840.663,32623,276813.0,5594494.797
1743256800000,2025-03-29 17:00:00,20.277,20.28,19.935,20.004,1400781.0,1743260399999,28035029.149,48344,719597.0,14405902.371
1743260400000,2025-03-29 18:00:00,20.004,20.132,19.962,19.987,366558.0,1743263999999,7343948.09,24231,173228.0,3471060.118
1743264000000,2025-03-29 19:00:00,19.988,20.05,19.853,19.884,540736.0,1743267599999,10788034.929,36565,266705.0,5321622.377
1743267600000,2025-03-29 20:00:00,19.883,20.048,19.656,19.819,907233.0,1743271199999,17987392.305,56759,440348.0,8734031.033
1743271200000,2025-03-29 21:00:00,19.819,19.987,19.746,19.793,470046.0,1743274799999,9339321.909,34356,242887.0,4825907.043
1743274800000,2025-03-29 22:00:00,19.794,19.885,19.653,19.862,428799.0,1743278399999,8479169.385,31219,225097.0,4451654.022
1743278400000,2025-03-29 23:00:00,19.864,19.89,19.608,19.622,589805.0,1743281999999,11645186.59,37205,266329.0,5260626.493
1743282000000,2025-03-30 00:00:00,19.621,19.762,19.503,19.633,526733.0,1743285599999,10337639.992,33247,249371.0,4895116.936
1743285600000,2025-03-30 01:00:00,19.632,19.677,19.484,19.505,285609.0,1743289199999,5590348.858,23873,120486.0,2359053.742
1743289200000,2025-03-30 02:00:00,19.505,19.703,19.437,19.589,417016.0,1743292799999,8162499.192,26280,198237.0,3880915.19
1743292800000,2025-03-30 03:00:00,19.59,19.627,19.358,19.563,552029.0,1743296399999,10755011.526,37345,305143.0,5945839.65
1743296400000,2025-03-30 04:00:00,19.562,19.79,19.546,19.633,437078.0,1743299999999,8605607.107,33567,225579.0,4440601.595
1743300000000,2025-03-30 05:00:00,19.635,19.869,19.621,19.81,369582.0,1743303599999,7301809.301,27277,187460.0,3703892.142
1743303600000,2025-03-30 06:00:00,19.809,19.894,19.623,19.646,396375.0,1743307199999,7844857.919,24802,180073.0,3564421.813
1743307200000,2025-03-30 07:00:00,19.647,19.734,19.592,19.61,293774.0,1743310799999,5776442.767,20096,152622.0,3000923.683
1743310800000,2025-03-30 08:00:00,19.61,19.673,19.425,19.448,361985.0,1743314399999,7083251.026,23780,186316.0,3646723.87
1743314400000,2025-03-30 09:00:00,19.449,19.572,19.329,19.505,473911.0,1743317999999,9212350.95,28161,242286.0,4711348.303
1743318000000,2025-03-30 10:00:00,19.506,19.628,19.423,19.434,256413.0,1743321599999,5003943.186,21204,127199.0,2482126.046
1743321600000,2025-03-30 11:00:00,19.435,19.615,19.407,19.594,274957.0,1743325199999,5367812.801,19453,145387.0,2838516.379
1743325200000,2025-03-30 12:00:00,19.596,19.69,19.506,19.533,455391.0,1743328799999,8922281.017,27137,218682.0,4285075.405
1743328800000,2025-03-30 13:00:00,19.533,19.569,19.2,19.224,670086.0,1743332399999,12974878.199,38664,304408.0,5894789.512
1743332400000,2025-03-30 14:00:00,19.223,19.406,19.157,19.337,499920.0,1743335999999,9642186.809,32910,255279.0,4923657.809
1743336000000,2025-03-30 15:00:00,19.339,19.46,19.24,19.368,320427.0,1743339599999,6199498.033,26388,161532.0,3125270.811
1743339600000,2025-03-30 16:00:00,19.369,19.369,19.056,19.07,596499.0,1743343199999,11434178.071,39338,252900.0,4849376.378
1743343200000,2025-03-30 17:00:00,19.069,19.327,19.032,19.315,478627.0,1743346799999,9196385.45,33929,228967.0,4398832.521
1743346800000,2025-03-30 18:00:00,19.317,19.448,19.266,19.292,462308.0,1743350399999,8957563.503,27969,240018.0,4650717.777
1743350400000,2025-03-30 19:00:00,19.291,19.39,19.0,19.034,559765.0,1743353999999,10742190.263,39918,245917.0,4722271.764
1743354000000,2025-03-30 20:00:00,19.034,19.119,18.971,19.04,454866.0,1743357599999,8664728.514,30703,231476.0,4410240.177
1743357600000,2025-03-30 21:00:00,19.041,19.26,19.028,19.258,431984.0,1743361199999,8276698.347,28146,230865.0,4423047.225
1743361200000,2025-03-30 22:00:00,19.259,19.375,19.084,19.105,429578.0,1743364799999,8265706.705,26560,223375.0,4301590.906
1743364800000,2025-03-30 23:00:00,19.106,19.137,19.016,19.047,322277.0,1743368399999,6146514.58,23975,140060.0,2672137.58
1743368400000,2025-03-31 00:00:00,19.047,19.154,18.816,18.918,399987.0,1743371999999,7595825.969,26434,182976.0,3476933.486
1743372000000,2025-03-31 01:00:00,18.918,19.107,18.669,18.988,875237.0,1743375599999,16506783.224,52853,441967.0,8334546.883
1743375600000,2025-03-31 02:00:00,18.988,18.993,18.732,18.855,438149.0,1743379199999,8254634.832,33498,203361.0,3832430.491
1743379200000,2025-03-31 03:00:00,18.856,18.871,18.45,18.603,888943.0,1743382799999,16574148.039,56293,431367.0,8044185.957
1743382800000,2025-03-31 04:00:00,18.605,18.97,18.57,18.906,603826.0,1743386399999,11374527.761,43764,287700.0,5417891.337
1743386400000,2025-03-31 05:00:00,18.907,19.013,18.749,18.873,315630.0,1743389999999,5957700.435,27737,159837.0,3017364.151
1743390000000,2025-03-31 06:00:00,18.872,18.946,18.59,18.625,322197.0,1743393599999,6041395.242,25136,144306.0,2706961.614
1743393600000,2025-03-31 07:00:00,18.625,18.799,18.501,18.732,384427.0,1743397199999,7171867.136,28233,190377.0,3552128.261
1743397200000,2025-03-31 08:00:00,18.732,18.936,18.717,18.771,355479.0,1743400799999,6695850.984,24502,175593.0,3306726.929
1743400800000,2025-03-31 09:00:00,18.77,18.82,18.597,18.655,369797.0,1743404399999,6908722.08,28133,184044.0,3438824.816
1743404400000,2025-03-31 10:00:00,18.654,18.772,18.421,18.552,515642.0,1743407999999,9567403.643,37775,227315.0,4218991.91
1743408000000,2025-03-31 11:00:00,18.551,18.719,18.385,18.416,562810.0,1743411599999,10449216.936,34529,251535.0,4672922.253
1743411600000,2025-03-31 12:00:00,18.417,18.502,18.176,18.257,897302.0,1743415199999,16429072.455,52768,424414.0,7772624.387
1743415200000,2025-03-31 13:00:00,18.258,18.614,18.164,18.568,663937.0,1743418799999,12217235.318,41295,363393.0,6688884.811
1743418800000,2025-03-31 14:00:00,18.568,18.714,18.456,18.622,430534.0,1743422399999,8001432.569,30838,226749.0,4215583.163
1743422400000,2025-03-31 15:00:00,18.621,19.021,18.498,18.861,670145.0,1743425999999,12570261.345,43377,348767.0,6544291.827
1743426000000,2025-03-31 16:00:00,18.863,18.896,18.398,18.64,774436.0,1743429599999,14435636.376,55490,358036.0,6674741.272
1743429600000,2025-03-31 17:00:00,18.644,19.012,18.643,18.952,749398.0,1743433199999,14130604.534,52224,406123.0,7659155.905
1743433200000,2025-03-31 18:00:00,18.952,19.107,18.928,18.962,541015.0,1743436799999,10290018.095,39471,251974.0,4792695.398
1743436800000,2025-03-31 19:00:00,18.961,19.045,18.804,18.821,360195.0,1743440399999,6811389.557,28713,166388.0,3147421.949
1743440400000,2025-03-31 20:00:00,18.82,18.948,18.63,18.715,406798.0,1743443999999,7639384.394,29821,207455.0,3897280.238
1743444000000,2025-03-31 21:00:00,18.715,18.957,18.699,18.81,380812.0,1743447599999,7174610.284,25798,194238.0,3659469.823
